ref_des, part number, footprint
C1, 22uF, Capacitors_SMD:C_0805
C2, 22uF, Capacitors_SMD:C_0805
C3, 1uF, Capacitors_SMD:C_0603
C4, 1uF, Capacitors_SMD:C_0603
C5, 22uF, Capacitors_SMD:C_0805
C6, 22uF, Capacitors_SMD:C_0805
D1, LED_red, LEDs:LED_0603
D2, LED_red, LEDs:LED_0603
J1, PJ-102BH, PJS-pth-parts:CUI_PJ-102BH
J10, Screw, Degson:DG301-5.002P-12
J11, Screw, Degson:DG301-5.002P-12
J12, SS-52100-001, PJS-pth-parts:Stewart_USB_SS-52100-001
J13, SS-52100-001, PJS-pth-parts:Stewart_USB_SS-52100-001
J2, PJ-102BH, PJS-pth-parts:CUI_PJ-102BH
J3, Screw, Degson:DG301-5.002P-12
J4, Screw, Degson:DG301-5.002P-12
J5, Screw, Degson:DG301-5.002P-12
J6, Screw, Degson:DG301-5.002P-12
J7, SS-52100-001, PJS-pth-parts:Stewart_USB_SS-52100-001
J8, SS-52100-001, PJS-pth-parts:Stewart_USB_SS-52100-001
J9, Screw, Degson:DG301-5.002P-12
L1, 6.5uH, Yuden:Yuden_Inductor_4.9x4.9
L2, 6.5uH, Yuden:Yuden_Inductor_4.9x4.9
R1, 499k, Resistors_SMD:R_0603
R10, 7.68k, Resistors_SMD:R_0603
R11, 499, Resistors_SMD:R_0603
R12, 499, Resistors_SMD:R_0603
R2, 100k, Resistors_SMD:R_0603
R3, 499k, Resistors_SMD:R_0603
R4, 100k, Resistors_SMD:R_0603
R5, 59k, Resistors_SMD:R_0603
R6, 59k, Resistors_SMD:R_0603
R7, 40.2k, Resistors_SMD:R_0603
R8, 7.68k, Resistors_SMD:R_0603
R9, 40.2k, Resistors_SMD:R_0603
U1, AP65111, TO_SOT_Packages_SMD:SOT-23-6
U2, AP65111, TO_SOT_Packages_SMD:SOT-23-6
icon1, Metroid, PJS-icons:metroid
